zip,geo_status,production_dev_pairs,shadow_dev_pairs,intersection,production_only_refuted,shadow_only_added,points_resolved,missing_descriptive_fields,satisfies_maps_shape
01508,not_measured,22,0,0,,0,0,0,PRESERVES_LEGACY
01509,not_measured,21,0,0,,0,0,0,PRESERVES_LEGACY
01510,boundary_complete,8,3,3,5,0,3,0,YES
01515,boundary_complete,12,5,5,7,0,5,0,YES
01516,boundary_complete,7,34,6,1,28,34,0,YES
01518,boundary_complete,29,18,18,11,0,18,0,YES
01519,boundary_complete,24,9,9,15,0,9,0,YES
01520,boundary_complete,17,10,10,7,0,10,0,YES
01521,boundary_complete,6,12,3,3,9,12,0,YES
01522,boundary_complete,10,2,2,8,0,2,0,YES
01523,boundary_complete,12,13,5,7,8,13,0,YES
01524,boundary_complete,4,2,2,2,0,2,0,YES
01525,boundary_complete,12,0,0,12,0,0,0,YES
01526,not_measured,8,0,0,,0,0,0,PRESERVES_LEGACY
01527,boundary_complete,43,21,21,22,0,21,0,YES
01529,boundary_complete,14,5,5,9,0,5,0,YES
01531,boundary_complete,3,4,3,0,1,4,0,YES
01532,boundary_complete,21,13,13,8,0,13,0,YES
01534,boundary_complete,13,3,3,10,0,3,0,YES
01535,boundary_complete,6,0,0,6,0,0,0,YES
01536,boundary_complete,24,10,9,15,1,10,0,YES
01537,boundary_complete,32,15,15,17,0,15,0,YES
01538,not_measured,14,0,0,,0,0,0,PRESERVES_LEGACY
01540,boundary_complete,8,7,7,1,0,7,0,YES
01541,boundary_complete,3,4,3,0,1,4,0,YES
01542,boundary_complete,23,1,1,22,0,1,0,YES
01543,boundary_complete,6,5,4,2,1,5,0,YES
01545,boundary_complete,27,16,16,11,0,16,0,YES
01546,not_measured,7,0,0,,0,0,0,PRESERVES_LEGACY
01550,boundary_complete,15,37,8,7,29,37,0,YES
01560,boundary_complete,16,1,1,15,0,1,0,YES
01561,boundary_complete,11,0,0,11,0,0,0,YES
01562,boundary_complete,9,7,7,2,0,7,0,YES
01564,boundary_complete,13,11,11,2,0,11,0,YES
01566,boundary_complete,36,31,22,14,9,31,0,YES
01568,boundary_complete,12,11,5,7,6,11,0,YES
01569,boundary_complete,16,15,15,1,0,15,0,YES
01570,boundary_complete,9,34,6,3,28,34,0,YES
01571,boundary_complete,10,31,3,7,28,31,0,YES
01581,boundary_complete,27,21,20,7,1,21,0,YES
01583,boundary_complete,20,10,10,10,0,10,0,YES
01585,boundary_complete,18,14,12,6,2,14,0,YES
01586,not_measured,39,0,0,,0,0,0,PRESERVES_LEGACY
01588,boundary_complete,15,5,5,10,0,5,0,YES
01590,boundary_complete,6,10,6,0,4,10,0,YES
01601,not_measured,69,0,0,,0,0,0,PRESERVES_LEGACY
