zip3,pages,fully_populated,pct_fully_populated,adjudicated,pending,terminal,placed_by_polygon,boundary_first_probed
506,4,1,25.0,1,3,0,0,no
507,4,0,0.0,8,12,0,0,no
515,16,3,18.8,23,41,0,0,no
520,1,1,100.0,2,0,0,0,no
522,9,0,0.0,13,35,0,0,no
523,8,1,12.5,11,21,0,0,no
524,5,0,0.0,3,7,0,0,no
527,3,2,66.7,2,4,0,0,no
528,6,2,33.3,7,10,0,0,no
530,34,0,0.0,0,174,0,0,no
531,39,0,0.0,0,196,0,0,no
532,30,0,0.0,0,750,0,0,no
534,5,0,0.0,0,29,0,0,no
535,29,0,0.0,82,118,0,0,no
537,14,0,0.0,2021,167,0,0,no
539,2,0,0.0,0,7,0,0,no
541,13,0,0.0,0,105,0,0,no
542,2,0,0.0,0,3,0,0,no
543,7,0,0.0,0,141,0,0,no
547,14,0,0.0,0,108,0,0,no
549,12,0,0.0,0,68,0,0,no
550,29,0,0.0,0,111,0,0,no
551,27,0,0.0,1962,330,0,0,no
553,41,0,0.0,0,131,0,0,no
554,42,0,0.0,41031,1712,0,0,no
559,10,0,0.0,0,28,0,0,no
561,1,0,0.0,0,1,0,0,no
563,14,0,0.0,0,36,0,0,no
567,1,0,0.0,0,2,0,0,no
570,32,1,3.1,8004,248,0,0,no
571,9,0,0.0,92841,2341,0,0,no
572,11,0,0.0,2,28,0,0,no
573,3,0,0.0,1,12,0,0,no
574,12,1,8.3,5,32,0,0,no
576,1,0,0.0,0,2,0,0,no
577,27,0,0.0,12,73,0,0,no
581,1,1,100.0,1,0,0,0,no
585,4,4,100.0,1020,0,0,0,no
588,3,3,100.0,3,0,0,0,no
590,9,0,0.0,0,13,0,0,no
591,3,0,0.0,0,16,0,0,no
592,1,0,0.0,0,1,0,0,no
594,8,0,0.0,0,43,0,0,no
596,5,0,0.0,0,23,0,0,no
597,9,0,0.0,0,604,0,0,no
598,23,0,0.0,60627,1883,0,0,no
599,5,0,0.0,265,11,0,0,no
600,77,19,24.7,321,232,204,0,no
601,69,5,7.2,278,248,43,0,no
602,5,0,0.0,322,14,8,0,no
603,6,0,0.0,1014,36,5,0,no
604,67,7,10.4,1546,189,181,0,no
605,45,6,13.3,101,97,1050,0,no
606,83,10,12.0,90027,357,12,0,no
607,5,0,0.0,1305,17,5,0,no
608,4,1,25.0,591,21,10,0,no
610,4,0,0.0,3,12,0,0,no
611,19,0,0.0,22,84,0,0,no
618,14,3,21.4,4,250,0,0,no
620,23,0,0.0,11,95,0,0,no
622,4,0,0.0,0,15,0,0,no
630,52,0,0.0,12,345,0,0,no
631,46,0,0.0,29,691,0,0,no
633,13,0,0.0,0,71,0,0,no
636,2,0,0.0,0,8,0,0,no
640,34,0,0.0,0,463,0,0,no
641,51,0,0.0,3716,12712,0,0,no
644,1,0,0.0,0,1,0,0,no
647,4,0,0.0,0,10,0,0,no
650,2,0,0.0,7,5,0,0,no
652,11,0,0.0,11529,75,0,0,no
654,1,0,0.0,0,7,0,0,no
656,4,0,0.0,0,21,0,0,no
657,8,0,0.0,0,19,0,0,no
658,9,0,0.0,0,77,0,0,no
660,33,0,0.0,0,11703,0,0,no
661,12,0,0.0,0,2371,0,0,no
662,25,0,0.0,0,148286,0,0,no
664,7,2,28.6,1083,44,0,0,no
665,12,0,0.0,857,69,0,0,no
666,18,0,0.0,82719,278,0,0,no
668,2,0,0.0,8,6,0,0,no
669,1,0,0.0,0,2,0,0,no
670,21,2,9.5,784,105,0,0,no
671,13,0,0.0,496,59,0,0,no
672,27,0,0.0,0,390,0,0,no
674,1,0,0.0,0,10,0,0,no
675,15,0,0.0,0,42,0,0,no
680,31,1,3.2,7,82,0,0,no
681,37,0,0.0,63,274,0,0,no
683,12,3,25.0,54,16,0,0,no
684,15,2,13.3,112,22,0,0,no
685,23,3,13.0,2463,81,0,0,no
686,8,1,12.5,2,10,0,0,no
687,1,0,0.0,0,1,0,0,no
688,16,0,0.0,4,39,0,0,no
